camX,camY,camZ,camTheta,camRX,camRY,camRZ,obj_gazeX,obj_gazeY,obj_gazeZ
27.218,29.920,-80.556,0.246,-0.952,-0.237,0.128,22.410,42.280,0.000
27.326,29.923,-80.526,0.250,-0.964,-0.195,0.123,26.410,43.610,0.000
27.483,29.950,-80.499,0.254,-0.973,-0.156,0.120,27.410,43.880,0.000
27.676,29.980,-80.475,0.258,-0.980,-0.121,0.120,27.680,44.380,0.000
27.884,29.993,-80.452,0.264,-0.984,-0.090,0.121,27.410,45.220,0.000
28.094,29.977,-80.429,0.270,-0.987,-0.062,0.123,27.460,46.160,0.000
28.304,29.925,-80.402,0.278,-0.988,-0.038,0.125,26.240,45.830,0.000
28.522,29.840,-80.369,0.286,-0.989,-0.018,0.127,23.860,47.160,0.000
28.753,29.728,-80.330,0.296,-0.990,-0.003,0.128,23.300,46.940,0.000
28.997,29.601,-80.283,0.306,-0.990,0.008,0.128,24.630,46.160,0.000
29.238,29.478,-80.229,0.316,-0.990,0.013,0.128,25.350,46.050,0.000
29.452,29.378,-80.172,0.326,-0.990,0.015,0.127,35.780,52.260,0.000
29.614,29.320,-80.115,0.336,-0.990,0.013,0.125,38.560,54.980,0.000
29.703,29.317,-80.063,0.345,-0.990,0.011,0.122,38.230,55.980,0.000
29.716,29.365,-80.017,0.353,-0.991,0.008,0.119,37.060,56.530,0.000
29.659,29.450,-79.978,0.360,-0.991,0.005,0.115,36.060,55.650,0.000
29.546,29.548,-79.942,0.366,-0.992,0.002,0.109,34.180,56.530,0.000
29.393,29.636,-79.906,0.372,-0.993,-0.000,0.101,36.230,64.750,0.000
29.211,29.703,-79.867,0.377,-0.994,-0.002,0.093,36.400,74.400,0.000
29.005,29.749,-79.824,0.382,-0.996,-0.004,0.083,35.340,78.500,0.000
28.776,29.784,-79.781,0.387,-0.997,-0.004,0.073,34.060,78.730,0.000
28.526,29.819,-79.740,0.391,-0.998,-0.004,0.064,33.010,77.230,0.000
28.257,29.861,-79.705,0.396,-0.999,-0.003,0.056,31.850,75.620,0.000
27.975,29.911,-79.675,0.400,-0.999,-0.001,0.050,30.400,75.340,0.000
27.686,29.960,-79.649,0.404,-1.000,0.003,0.047,22.580,75.730,0.000
27.393,30.000,-79.621,0.408,-1.000,0.008,0.045,15.200,77.280,0.000
27.096,30.026,-79.588,0.412,-0.999,0.014,0.045,14.260,76.780,0.000
26.791,30.044,-79.547,0.416,-0.999,0.024,0.046,14.920,75.450,0.000
26.463,30.068,-79.498,0.421,-0.998,0.037,0.049,15.370,74.620,0.000
26.099,30.122,-79.444,0.424,-0.996,0.055,0.051,9.540,74.840,0.000
25.687,30.226,-79.387,0.427,-0.992,0.078,0.053,0.170,76.950,0.000
25.224,30.390,-79.333,0.429,-0.988,0.107,0.053,-0.390,77.060,0.000
24.723,30.613,-79.284,0.429,-0.982,0.141,0.053,1.500,76.170,0.000
24.209,30.877,-79.243,0.428,-0.974,0.179,0.051,3.660,74.900,0.000
23.715,31.157,-79.212,0.426,-0.964,0.221,0.049,5.490,72.680,0.000
23.274,31.424,-79.192,0.423,-0.953,0.265,0.045,7.270,71.460,0.000
22.913,31.650,-79.184,0.420,-0.939,0.309,0.043,8.880,70.460,0.000
22.650,31.816,-79.191,0.416,-0.925,0.352,0.040,10.370,69.680,0.000
22.494,31.911,-79.215,0.412,-0.909,0.393,0.038,16.530,68.680,0.000
22.447,31.933,-79.261,0.408,-0.892,0.432,0.038,33.790,73.070,0.000
22.502,31.896,-79.333,0.404,-0.874,0.469,0.038,38.170,72.960,0.000
22.646,31.816,-79.433,0.399,-0.856,0.503,0.040,39.560,71.010,0.000
22.861,31.716,-79.562,0.394,-0.838,0.535,0.043,40.000,68.130,0.000
23.129,31.614,-79.716,0.389,-0.820,0.564,0.047,41.000,65.970,0.000
23.436,31.522,-79.891,0.383,-0.802,0.590,0.051,41.780,63.910,0.000
23.770,31.445,-80.080,0.378,-0.784,0.614,0.057,42.170,62.140,0.000
24.120,31.383,-80.275,0.373,-0.768,0.635,0.063,49.320,51.540,0.000
24.477,31.337,-80.467,0.368,-0.753,0.653,0.069,60.420,38.560,0.000
24.826,31.306,-80.649,0.364,-0.739,0.669,0.075,62.640,40.170,0.000
25.155,31.290,-80.812,0.360,-0.727,0.682,0.080,62.530,39.500,0.000
25.454,31.287,-80.953,0.357,-0.715,0.694,0.085,61.420,39.670,0.000
25.718,31.292,-81.071,0.354,-0.703,0.706,0.090,59.970,38.670,0.000
25.946,31.301,-81.170,0.352,-0.692,0.716,0.095,60.140,36.890,0.000
26.147,31.309,-81.256,0.351,-0.682,0.726,0.099,66.740,27.190,0.000
26.328,31.312,-81.337,0.349,-0.672,0.735,0.103,67.910,23.080,0.000
26.496,31.310,-81.419,0.348,-0.663,0.743,0.107,66.740,23.410,0.000
26.655,31.305,-81.504,0.347,-0.654,0.750,0.110,65.970,26.190,0.000
26.805,31.299,-81.590,0.346,-0.647,0.757,0.113,64.250,25.850,0.000
26.942,31.296,-81.674,0.346,-0.640,0.762,0.115,66.690,24.020,0.000
27.062,31.297,-81.751,0.345,-0.634,0.766,0.118,65.130,25.630,0.000
27.160,31.304,-81.815,0.345,-0.629,0.770,0.119,63.250,27.350,0.000
27.231,31.317,-81.863,0.346,-0.624,0.774,0.121,61.920,28.180,0.000
27.274,31.337,-81.893,0.346,-0.619,0.777,0.122,61.470,28.520,0.000
27.291,31.361,-81.907,0.346,-0.614,0.780,0.123,60.310,29.460,0.000
27.293,31.384,-81.911,0.347,-0.610,0.783,0.123,59.310,30.290,0.000
27.292,31.403,-81.913,0.347,-0.607,0.785,0.124,58.480,31.400,0.000
27.301,31.414,-81.920,0.348,-0.604,0.786,0.125,57.480,32.400,0.000
27.323,31.413,-81.936,0.348,-0.603,0.787,0.125,57.640,31.240,0.000
27.353,31.401,-81.957,0.348,-0.602,0.787,0.126,60.360,22.750,0.000
27.378,31.381,-81.977,0.349,-0.602,0.787,0.127,61.190,21.970,0.000
27.389,31.357,-81.989,0.349,-0.602,0.786,0.128,61.470,21.970,0.000
27.381,31.333,-81.994,0.350,-0.602,0.786,0.128,61.030,22.860,0.000
27.352,31.313,-81.991,0.351,-0.602,0.786,0.128,62.470,18.250,0.000
27.303,31.298,-81.981,0.352,-0.602,0.787,0.128,62.580,17.980,0.000
27.235,31.287,-81.963,0.353,-0.601,0.787,0.128,62.250,17.860,0.000
27.148,31.277,-81.934,0.354,-0.599,0.788,0.128,61.860,17.860,0.000
27.052,31.269,-81.896,0.355,-0.598,0.789,0.129,61.640,17.920,0.000
26.961,31.264,-81.852,0.356,-0.596,0.791,0.129,61.470,18.090,0.000
26.890,31.266,-81.810,0.356,-0.594,0.792,0.130,61.360,18.920,0.000
26.851,31.282,-81.780,0.356,-0.592,0.793,0.131,61.190,20.080,0.000
26.839,31.313,-81.765,0.355,-0.590,0.794,0.133,61.470,22.470,0.000
26.842,31.358,-81.766,0.354,-0.589,0.795,0.135,60.860,22.910,0.000
26.842,31.414,-81.776,0.353,-0.587,0.796,0.136,60.750,22.360,0.000
26.827,31.474,-81.792,0.352,-0.586,0.797,0.138,60.860,22.300,0.000
26.791,31.535,-81.807,0.350,-0.585,0.798,0.139,61.140,21.300,0.000
26.738,31.591,-81.817,0.350,-0.584,0.799,0.139,60.700,21.530,0.000
26.671,31.640,-81.819,0.349,-0.583,0.800,0.139,60.530,21.640,0.000
26.596,31.680,-81.810,0.349,-0.583,0.800,0.139,60.470,21.580,0.000
26.517,31.710,-81.789,0.348,-0.584,0.800,0.139,60.030,21.910,0.000
26.438,31.729,-81.759,0.348,-0.584,0.800,0.139,59.250,23.020,0.000
26.367,31.735,-81.724,0.348,-0.585,0.799,0.138,59.310,22.250,0.000
26.308,31.725,-81.689,0.348,-0.586,0.798,0.137,59.420,21.300,0.000
26.265,31.699,-81.657,0.348,-0.588,0.797,0.137,59.470,20.860,0.000
26.236,31.657,-81.629,0.348,-0.591,0.795,0.136,59.530,20.030,0.000
26.215,31.606,-81.604,0.349,-0.594,0.793,0.136,59.860,19.250,0.000
26.198,31.554,-81.582,0.349,-0.597,0.791,0.136,59.920,19.200,0.000
26.183,31.508,-81.563,0.349,-0.600,0.789,0.137,60.090,19.310,0.000
26.173,31.471,-81.547,0.349,-0.603,0.786,0.137,60.090,19.470,0.000
26.171,31.445,-81.537,0.349,-0.606,0.784,0.137,59.970,20.190,0.000
26.183,31.427,-81.532,0.348,-0.608,0.782,0.137,57.260,23.470,0.000
26.208,31.415,-81.531,0.348,-0.610,0.780,0.138,52.210,27.350,0.000
26.247,31.406,-81.536,0.347,-0.612,0.779,0.138,51.320,28.290,0.000
26.299,31.399,-81.547,0.346,-0.614,0.777,0.138,51.150,28.680,0.000
26.364,31.395,-81.571,0.345,-0.616,0.776,0.138,51.320,28.630,0.000
26.443,31.394,-81.610,0.344,-0.617,0.775,0.138,51.150,28.680,0.000
26.536,31.393,-81.667,0.343,-0.619,0.774,0.139,51.150,28.520,0.000
26.638,31.390,-81.735,0.342,-0.620,0.772,0.139,51.370,28.240,0.000
26.739,31.380,-81.803,0.341,-0.622,0.771,0.140,51.710,28.180,0.000
26.831,31.363,-81.861,0.341,-0.623,0.769,0.141,51.820,28.240,0.000
26.907,31.342,-81.901,0.340,-0.624,0.768,0.142,52.210,28.070,0.000
26.968,31.325,-81.927,0.340,-0.624,0.767,0.144,51.490,28.130,0.000
27.020,31.320,-81.947,0.340,-0.624,0.767,0.146,49.040,28.960,0.000
27.072,31.333,-81.971,0.340,-0.622,0.768,0.149,48.770,28.850,0.000
27.134,31.360,-82.009,0.339,-0.620,0.770,0.152,48.660,28.790,0.000
27.209,31.392,-82.061,0.339,-0.618,0.771,0.156,48.880,28.630,0.000
27.295,31.419,-82.122,0.338,-0.615,0.773,0.160,48.820,28.460,0.000
27.384,31.432,-82.185,0.337,-0.612,0.774,0.164,48.930,28.350,0.000
27.463,31.428,-82.240,0.336,-0.609,0.775,0.167,49.160,27.960,0.000
27.523,31.412,-82.281,0.336,-0.607,0.777,0.171,49.650,28.180,0.000
27.556,31.388,-82.305,0.336,-0.604,0.778,0.173,49.930,28.020,0.000
27.560,31.366,-82.312,0.336,-0.601,0.780,0.175,50.150,28.020,0.000
27.544,31.350,-82.308,0.337,-0.598,0.782,0.177,50.430,28.180,0.000
27.520,31.344,-82.297,0.338,-0.595,0.784,0.177,50.540,28.290,0.000
27.505,31.346,-82.287,0.339,-0.592,0.786,0.178,50.540,28.350,0.000
27.511,31.353,-82.281,0.340,-0.589,0.788,0.179,50.380,28.290,0.000
27.544,31.357,-82.284,0.340,-0.587,0.790,0.179,50.430,28.180,0.000
27.597,31.352,-82.291,0.340,-0.585,0.791,0.180,50.430,28.070,0.000
27.657,31.336,-82.300,0.340,-0.583,0.792,0.180,50.540,27.680,0.000
27.710,31.310,-82.305,0.340,-0.582,0.793,0.180,50.760,27.520,0.000
27.744,31.283,-82.306,0.340,-0.580,0.794,0.180,50.930,27.520,0.000
27.753,31.263,-82.303,0.340,-0.577,0.796,0.180,50.930,27.910,0.000
27.741,31.258,-82.299,0.340,-0.573,0.799,0.180,50.880,27.850,0.000
27.714,31.267,-82.296,0.341,-0.569,0.802,0.180,53.650,27.070,0.000
27.681,31.290,-82.296,0.341,-0.564,0.805,0.181,55.260,27.130,0.000
27.653,31.322,-82.300,0.342,-0.559,0.808,0.182,55.310,26.800,0.000
27.639,31.361,-82.310,0.342,-0.555,0.811,0.183,55.200,26.740,0.000
27.645,31.404,-82.329,0.341,-0.551,0.814,0.184,60.700,38.780,0.000
27.672,31.448,-82.359,0.341,-0.548,0.816,0.186,61.970,34.560,0.000
27.717,31.492,-82.399,0.340,-0.545,0.818,0.187,52.650,24.470,0.000
27.770,31.532,-82.446,0.338,-0.543,0.819,0.188,52.040,20.690,0.000
27.815,31.566,-82.491,0.337,-0.541,0.821,0.189,61.690,14.310,0.000
27.838,31.594,-82.526,0.336,-0.538,0.822,0.189,60.810,13.980,0.000
27.827,31.610,-82.539,0.336,-0.536,0.824,0.189,61.860,14.370,0.000
27.777,31.613,-82.526,0.336,-0.533,0.826,0.189,60.970,14.650,0.000
27.694,31.601,-82.489,0.336,-0.529,0.829,0.188,60.580,15.700,0.000
27.593,31.575,-82.438,0.337,-0.525,0.831,0.187,60.580,16.140,0.000
27.494,31.542,-82.386,0.337,-0.522,0.834,0.187,60.580,15.870,0.000
27.418,31.510,-82.350,0.338,-0.518,0.836,0.186,60.420,15.370,0.000
27.378,31.488,-82.340,0.338,-0.515,0.837,0.186,51.370,15.530,0.000
27.378,31.481,-82.361,0.337,-0.513,0.839,0.187,48.270,14.920,0.000
27.412,31.490,-82.408,0.336,-0.511,0.839,0.187,47.770,15.310,0.000
27.464,31.513,-82.469,0.335,-0.509,0.840,0.188,47.550,15.530,0.000
27.518,31.544,-82.534,0.333,-0.508,0.840,0.188,47.380,15.760,0.000
27.559,31.580,-82.590,0.332,-0.507,0.841,0.189,47.160,16.090,0.000
27.577,31.618,-82.629,0.331,-0.505,0.842,0.189,46.990,16.310,0.000
27.563,31.653,-82.647,0.330,-0.503,0.843,0.190,47.050,16.370,0.000
27.519,31.685,-82.642,0.329,-0.500,0.845,0.189,50.710,12.980,0.000
27.448,31.710,-82.617,0.328,-0.497,0.846,0.189,54.540,7.710,0.000
27.361,31.727,-82.576,0.328,-0.494,0.848,0.188,54.510,7.685,0.000
27.269,31.734,-82.527,0.328,-0.491,0.850,0.187,54.480,7.660,0.000
27.181,31.730,-82.477,0.327,-0.489,0.852,0.185,54.260,7.990,0.000
27.101,31.711,-82.428,0.327,-0.487,0.854,0.183,54.150,8.430,0.000
27.027,31.675,-82.380,0.327,-0.485,0.856,0.180,54.040,9.270,0.000
26.951,31.621,-82.329,0.327,-0.484,0.858,0.177,56.980,9.430,0.000
26.870,31.551,-82.274,0.327,-0.483,0.860,0.174,57.200,9.540,0.000
26.781,31.477,-82.215,0.327,-0.481,0.861,0.170,57.370,9.760,0.000
26.689,31.414,-82.159,0.327,-0.480,0.863,0.167,57.420,9.880,0.000
26.601,31.378,-82.111,0.327,-0.477,0.864,0.164,57.310,9.710,0.000
26.524,31.379,-82.077,0.326,-0.474,0.866,0.162,57.370,9.760,0.000
26.460,31.416,-82.055,0.325,-0.470,0.867,0.161,57.530,9.760,0.000
26.406,31.477,-82.042,0.324,-0.466,0.870,0.159,57.480,9.380,0.000
26.359,31.546,-82.031,0.323,-0.461,0.872,0.158,57.260,9.150,0.000
26.314,31.608,-82.018,0.321,-0.457,0.874,0.156,57.310,9.150,0.000
26.274,31.650,-82.002,0.320,-0.453,0.876,0.154,49.490,13.370,0.000
26.246,31.668,-81.989,0.318,-0.450,0.878,0.152,46.710,14.480,0.000
26.238,31.665,-81.984,0.317,-0.448,0.880,0.149,46.220,14.650,0.000
26.254,31.645,-81.993,0.315,-0.447,0.881,0.147,46.100,14.200,0.000
26.290,31.616,-82.013,0.313,-0.446,0.882,0.144,46.050,13.930,0.000
26.336,31.583,-82.038,0.312,-0.446,0.883,0.142,46.160,13.700,0.000
26.379,31.552,-82.060,0.311,-0.445,0.884,0.140,46.380,13.700,0.000
26.411,31.523,-82.071,0.311,-0.443,0.885,0.139,46.600,13.760,0.000
26.427,31.499,-82.068,0.311,-0.441,0.886,0.138,46.660,13.810,0.000
26.429,31.479,-82.054,0.312,-0.438,0.888,0.138,46.830,13.650,0.000
26.425,31.460,-82.032,0.314,-0.434,0.890,0.138,47.100,13.700,0.000
26.421,31.439,-82.009,0.315,-0.429,0.892,0.139,47.320,13.700,0.000
26.425,31.410,-81.989,0.317,-0.425,0.894,0.139,47.660,13.650,0.000
26.442,31.369,-81.973,0.319,-0.421,0.895,0.139,47.880,13.540,0.000
26.475,31.314,-81.964,0.320,-0.417,0.897,0.140,48.100,13.590,0.000
26.525,31.251,-81.961,0.321,-0.414,0.898,0.140,48.380,13.320,0.000
26.590,31.189,-81.966,0.322,-0.411,0.899,0.141,48.930,12.930,0.000
26.672,31.142,-81.980,0.323,-0.408,0.900,0.142,48.930,12.760,0.000
26.773,31.122,-82.010,0.323,-0.404,0.902,0.144,49.490,10.430,0.000
26.894,31.132,-82.057,0.323,-0.400,0.903,0.146,49.600,9.430,0.000
27.031,31.168,-82.121,0.322,-0.395,0.905,0.149,49.820,8.710,0.000
27.180,31.217,-82.196,0.322,-0.390,0.906,0.152,49.770,8.160,0.000
27.332,31.267,-82.275,0.321,-0.385,0.907,0.155,50.040,7.320,0.000
27.479,31.306,-82.351,0.321,-0.381,0.909,0.159,50.150,7.100,0.000
27.618,31.330,-82.420,0.321,-0.376,0.910,0.162,49.990,7.270,0.000
27.746,31.339,-82.481,0.320,-0.372,0.911,0.166,49.820,7.100,0.000
27.866,31.336,-82.534,0.320,-0.369,0.912,0.170,49.820,7.050,0.000
27.982,31.325,-82.583,0.320,-0.365,0.913,0.175,49.990,7.050,0.000
28.096,31.310,-82.631,0.320,-0.362,0.914,0.179,50.100,7.100,0.000
28.214,31.295,-82.679,0.320,-0.359,0.915,0.184,50.270,7.550,0.000
28.337,31.285,-82.730,0.319,-0.355,0.915,0.188,50.650,8.160,0.000
28.469,31.285,-82.785,0.319,-0.352,0.916,0.193,50.820,8.540,0.000
28.612,31.298,-82.845,0.318,-0.349,0.916,0.199,50.760,8.990,0.000
28.767,31.323,-82.910,0.317,-0.347,0.915,0.204,53.820,9.650,0.000
28.931,31.359,-82.979,0.316,-0.346,0.915,0.209,61.860,11.760,0.000
29.099,31.399,-83.048,0.314,-0.346,0.914,0.214,62.580,11.930,0.000
29.263,31.439,-83.112,0.313,-0.347,0.912,0.219,62.030,12.040,0.000
29.418,31.477,-83.171,0.312,-0.349,0.910,0.223,61.690,12.040,0.000
29.563,31.513,-83.224,0.310,-0.353,0.908,0.227,61.310,12.260,0.000
29.696,31.549,-83.273,0.309,-0.356,0.906,0.230,60.970,12.480,0.000
29.815,31.583,-83.316,0.307,-0.360,0.903,0.234,60.470,12.540,0.000
29.913,31.612,-83.349,0.306,-0.363,0.901,0.237,60.200,12.540,0.000
29.978,31.630,-83.367,0.305,-0.366,0.899,0.240,59.860,13.040,0.000
30.007,31.633,-83.364,0.305,-0.369,0.897,0.243,59.750,13.150,0.000
29.999,31.619,-83.341,0.305,-0.370,0.895,0.246,59.750,13.260,0.000
29.963,31.590,-83.303,0.306,-0.372,0.893,0.249,59.530,13.650,0.000
29.912,31.551,-83.258,0.307,-0.374,0.891,0.252,59.310,13.870,0.000
29.857,31.508,-83.214,0.309,-0.376,0.890,0.255,58.920,13.870,0.000
29.803,31.469,-83.176,0.310,-0.379,0.888,0.257,58.750,14.040,0.000
29.748,31.438,-83.146,0.312,-0.382,0.886,0.259,58.140,16.870,0.000
29.686,31.420,-83.120,0.313,-0.386,0.885,0.260,57.530,18.750,0.000
29.610,31.414,-83.095,0.315,-0.390,0.883,0.261,57.260,19.250,0.000
29.519,31.421,-83.070,0.317,-0.393,0.882,0.261,57.090,19.750,0.000
29.420,31.437,-83.046,0.318,-0.397,0.881,0.261,57.030,20.030,0.000
29.327,31.456,-83.028,0.320,-0.400,0.879,0.261,57.030,20.310,0.000
29.255,31.473,-83.021,0.321,-0.404,0.877,0.261,57.090,20.470,0.000
29.211,31.481,-83.029,0.322,-0.409,0.875,0.261,57.140,20.470,0.000
29.195,31.473,-83.047,0.322,-0.415,0.872,0.261,57.260,20.140,0.000
29.190,31.445,-83.069,0.322,-0.421,0.868,0.262,57.310,20.140,0.000
29.177,31.394,-83.086,0.323,-0.428,0.864,0.262,57.030,22.580,0.000
29.137,31.322,-83.086,0.323,-0.435,0.861,0.263,56.760,23.910,0.000
29.061,31.237,-83.067,0.325,-0.442,0.857,0.262,56.650,24.520,0.000
28.954,31.155,-83.028,0.326,-0.449,0.854,0.262,56.420,24.630,0.000
28.833,31.091,-82.977,0.328,-0.455,0.851,0.260,56.200,24.800,0.000
28.717,31.059,-82.925,0.330,-0.460,0.849,0.258,56.150,24.910,0.000
28.622,31.063,-82.878,0.331,-0.464,0.847,0.256,56.040,24.910,0.000
28.550,31.096,-82.838,0.332,-0.467,0.845,0.254,55.870,24.860,0.000
28.496,31.146,-82.806,0.332,-0.471,0.844,0.252,52.480,30.180,0.000
28.449,31.200,-82.775,0.332,-0.474,0.843,0.250,50.820,34.340,0.000
28.399,31.251,-82.742,0.332,-0.477,0.842,0.248,50.990,35.290,0.000
28.345,31.296,-82.703,0.332,-0.480,0.841,0.245,51.490,35.510,0.000
28.286,31.330,-82.657,0.332,-0.483,0.840,0.243,51.490,35.730,0.000
28.222,31.348,-82.602,0.332,-0.485,0.839,0.241,51.650,35.730,0.000
28.151,31.342,-82.539,0.333,-0.488,0.839,0.239,51.710,35.620,0.000
28.070,31.309,-82.472,0.334,-0.491,0.838,0.237,50.760,34.950,0.000
27.982,31.255,-82.407,0.334,-0.494,0.837,0.235,48.320,32.620,0.000
27.901,31.197,-82.357,0.335,-0.496,0.836,0.232,47.660,32.230,0.000
27.847,31.153,-82.332,0.336,-0.499,0.835,0.230,47.600,32.120,0.000
27.840,31.138,-82.337,0.335,-0.501,0.834,0.229,47.440,32.120,0.000
27.888,31.153,-82.367,0.335,-0.504,0.833,0.228,47.210,31.850,0.000
27.980,31.185,-82.412,0.334,-0.506,0.831,0.228,46.940,31.790,0.000
28.094,31.219,-82.454,0.333,-0.509,0.829,0.228,46.830,31.960,0.000
28.200,31.239,-82.481,0.332,-0.512,0.828,0.228,46.830,31.960,0.000
28.276,31.245,-82.487,0.331,-0.515,0.826,0.228,46.990,31.620,0.000
28.315,31.246,-82.477,0.331,-0.518,0.824,0.228,47.210,31.790,0.000
28.321,31.255,-82.459,0.332,-0.520,0.823,0.227,47.440,31.960,0.000
28.307,31.282,-82.445,0.333,-0.521,0.823,0.227,47.660,31.680,0.000
28.289,31.325,-82.442,0.334,-0.522,0.823,0.227,47.940,31.730,0.000
28.279,31.376,-82.453,0.334,-0.523,0.822,0.226,48.100,31.850,0.000
28.282,31.421,-82.473,0.335,-0.524,0.821,0.226,48.320,31.850,0.000
28.294,31.449,-82.495,0.335,-0.525,0.820,0.226,48.430,31.570,0.000
28.309,31.451,-82.511,0.336,-0.527,0.819,0.225,48.550,31.790,0.000
28.319,31.425,-82.513,0.336,-0.530,0.817,0.224,48.880,31.790,0.000
28.316,31.375,-82.499,0.337,-0.533,0.814,0.224,49.160,32.070,0.000
28.300,31.311,-82.468,0.338,-0.536,0.812,0.223,49.320,32.180,0.000
28.270,31.247,-82.427,0.338,-0.539,0.811,0.222,49.710,32.730,0.000
28.231,31.199,-82.384,0.339,-0.542,0.809,0.221,49.710,32.510,0.000
28.188,31.176,-82.348,0.340,-0.545,0.808,0.220,49.990,32.460,0.000
28.145,31.182,-82.326,0.340,-0.547,0.808,0.219,52.710,38.060,0.000
28.104,31.210,-82.319,0.340,-0.549,0.807,0.218,53.540,38.610,0.000
28.068,31.253,-82.325,0.340,-0.551,0.806,0.217,53.650,38.780,0.000
28.032,31.302,-82.337,0.341,-0.553,0.805,0.217,53.760,38.890,0.000
27.993,31.352,-82.348,0.341,-0.555,0.804,0.215,53.430,39.220,0.000
27.947,31.401,-82.353,0.341,-0.557,0.803,0.214,53.430,39.390,0.000
27.890,31.447,-82.348,0.342,-0.558,0.802,0.213,53.210,39.720,0.000
27.822,31.489,-82.331,0.342,-0.559,0.801,0.212,53.210,39.560,0.000
27.746,31.523,-82.306,0.343,-0.560,0.801,0.211,52.930,39.610,0.000
27.666,31.548,-82.271,0.343,-0.560,0.801,0.209,53.090,39.610,0.000
27.587,31.560,-82.230,0.344,-0.560,0.801,0.208,52.870,39.670,0.000
27.515,31.559,-82.186,0.344,-0.561,0.801,0.207,52.760,39.610,0.000
27.457,31.549,-82.146,0.344,-0.562,0.801,0.206,52.370,39.890,0.000
27.425,31.535,-82.123,0.344,-0.564,0.800,0.205,52.260,39.890,0.000
27.427,31.521,-82.127,0.344,-0.566,0.798,0.205,52.040,39.450,0.000
27.468,31.513,-82.163,0.343,-0.570,0.796,0.205,51.650,39.000,0.000
27.543,31.510,-82.229,0.341,-0.575,0.792,0.206,51.150,38.780,0.000
27.643,31.510,-82.312,0.340,-0.580,0.788,0.207,50.990,38.390,0.000
27.753,31.511,-82.399,0.338,-0.587,0.782,0.208,50.820,38.060,0.000
27.863,31.510,-82.478,0.337,-0.594,0.777,0.209,50.760,37.950,0.000
27.963,31.505,-82.540,0.336,-0.602,0.770,0.209,50.760,37.950,0.000
28.049,31.491,-82.580,0.335,-0.611,0.764,0.210,50.820,37.950,0.000
28.119,31.461,-82.592,0.336,-0.619,0.756,0.210,50.710,38.170,0.000
28.170,31.408,-82.571,0.337,-0.629,0.749,0.211,49.540,45.380,0.000
28.201,31.325,-82.517,0.339,-0.638,0.741,0.211,48.820,50.100,0.000
28.218,31.215,-82.436,0.342,-0.648,0.732,0.211,48.600,51.490,0.000
28.230,31.087,-82.345,0.345,-0.659,0.722,0.211,48.490,52.430,0.000
28.248,30.961,-82.267,0.348,-0.669,0.713,0.212,48.490,52.980,0.000
28.284,30.862,-82.224,0.351,-0.679,0.703,0.212,48.430,53.150,0.000
28.341,30.812,-82.229,0.353,-0.688,0.694,0.212,48.550,53.090,0.000
28.416,30.819,-82.283,0.354,-0.696,0.685,0.213,48.430,53.370,0.000
28.499,30.880,-82.369,0.355,-0.704,0.677,0.214,41.000,68.240,0.000
28.580,30.973,-82.466,0.355,-0.710,0.670,0.214,37.840,73.900,0.000
28.646,31.071,-82.549,0.356,-0.716,0.663,0.215,37.170,74.680,0.000
28.692,31.147,-82.600,0.357,-0.722,0.657,0.216,37.170,75.620,0.000
28.717,31.181,-82.611,0.359,-0.729,0.650,0.216,37.500,76.120,0.000
28.730,31.169,-82.590,0.361,-0.735,0.643,0.216,35.510,75.340,0.000
28.742,31.115,-82.548,0.365,-0.743,0.635,0.216,31.120,78.500,0.000
28.765,31.033,-82.504,0.369,-0.751,0.626,0.215,30.400,79.060,0.000
28.803,30.943,-82.470,0.373,-0.760,0.617,0.214,30.680,79.500,0.000
28.854,30.862,-82.450,0.378,-0.768,0.606,0.214,31.120,79.340,0.000
28.907,30.805,-82.444,0.382,-0.777,0.596,0.213,31.120,79.840,0.000
28.954,30.778,-82.444,0.386,-0.784,0.587,0.212,31.070,80.340,0.000
28.987,30.778,-82.444,0.390,-0.790,0.579,0.212,31.070,80.720,0.000
29.007,30.796,-82.439,0.394,-0.795,0.571,0.212,31.120,80.720,0.000
29.014,30.827,-82.428,0.398,-0.799,0.565,0.213,34.180,83.720,0.000
29.008,30.864,-82.411,0.402,-0.802,0.560,0.213,35.060,84.550,0.000
28.993,30.906,-82.389,0.406,-0.804,0.557,0.214,35.170,84.720,0.000
28.972,30.953,-82.368,0.409,-0.805,0.554,0.216,35.010,84.550,0.000
28.952,31.008,-82.353,0.412,-0.806,0.551,0.217,35.060,84.660,0.000
28.941,31.070,-82.350,0.414,-0.807,0.549,0.218,35.340,85.050,0.000
28.947,31.140,-82.363,0.416,-0.808,0.547,0.218,35.340,84.720,0.000
28.974,31.214,-82.395,0.417,-0.809,0.545,0.219,35.450,84.610,0.000
29.021,31.285,-82.441,0.417,-0.811,0.542,0.219,41.060,81.170,0.000
29.079,31.347,-82.493,0.417,-0.813,0.540,0.219,44.050,79.780,0.000
29.138,31.393,-82.542,0.417,-0.814,0.537,0.219,44.440,79.390,0.000
29.183,31.420,-82.574,0.417,-0.816,0.535,0.219,44.610,78.780,0.000
29.203,31.429,-82.582,0.417,-0.817,0.534,0.218,44.880,77.560,0.000
29.193,31.427,-82.565,0.417,-0.818,0.533,0.218,44.990,76.780,0.000
29.159,31.423,-82.528,0.418,-0.818,0.533,0.218,45.160,76.120,0.000
