camX,camY,camZ,camTheta,camRX,camRY,camRZ,obj_gazeX,obj_gazeY,obj_gazeZ
52.142,32.925,-104.684,0.348,-0.915,-0.404,0.001,23.750,58.810,0.000
52.010,33.311,-104.421,0.337,-0.916,-0.398,-0.009,23.910,56.480,0.000
51.810,33.649,-104.230,0.323,-0.920,-0.383,-0.019,24.860,53.370,0.000
51.547,33.866,-104.093,0.308,-0.926,-0.360,-0.026,26.350,51.870,0.000
51.229,33.922,-103.998,0.294,-0.935,-0.329,-0.030,28.350,49.820,0.000
50.876,33.813,-103.927,0.280,-0.946,-0.290,-0.031,29.460,50.040,0.000
50.515,33.572,-103.869,0.269,-0.957,-0.247,-0.028,31.180,51.490,0.000
50.179,33.255,-103.811,0.259,-0.968,-0.203,-0.023,31.680,52.600,0.000
49.892,32.923,-103.746,0.252,-0.978,-0.161,-0.015,31.850,51.540,0.000
49.662,32.620,-103.672,0.245,-0.986,-0.124,-0.006,32.400,51.430,0.000
49.487,32.375,-103.590,0.240,-0.991,-0.091,0.003,31.850,48.880,0.000
49.353,32.198,-103.504,0.235,-0.995,-0.064,0.012,42.550,51.710,0.000
49.246,32.081,-103.420,0.230,-0.997,-0.040,0.019,44.330,50.380,0.000
49.156,32.012,-103.341,0.226,-0.999,-0.021,0.026,43.660,50.150,0.000
49.082,31.974,-103.270,0.222,-0.999,-0.004,0.032,44.880,49.210,0.000
49.022,31.950,-103.207,0.219,-1.000,0.010,0.037,46.220,48.770,0.000
48.977,31.932,-103.152,0.216,-1.000,0.021,0.041,54.370,37.230,0.000
48.941,31.914,-103.102,0.213,-1.000,0.031,0.045,62.690,32.070,0.000
48.908,31.898,-103.058,0.211,-0.999,0.040,0.049,63.860,29.680,0.000
48.875,31.887,-103.019,0.209,-0.999,0.048,0.052,60.310,33.010,0.000
48.836,31.884,-102.985,0.208,-0.998,0.056,0.054,59.200,34.510,0.000
48.793,31.891,-102.955,0.206,-0.997,0.065,0.056,57.640,34.620,0.000
48.747,31.906,-102.929,0.204,-0.996,0.073,0.056,58.860,34.620,0.000
48.703,31.924,-102.907,0.203,-0.994,0.080,0.056,58.480,35.840,0.000
48.664,31.943,-102.890,0.202,-0.993,0.088,0.054,57.760,36.060,0.000
48.633,31.961,-102.876,0.201,-0.992,0.094,0.052,57.030,36.170,0.000
48.611,31.979,-102.866,0.199,-0.991,0.099,0.050,56.810,36.670,0.000
48.597,31.998,-102.861,0.198,-0.991,0.103,0.049,56.420,36.730,0.000
48.589,32.014,-102.861,0.197,-0.990,0.106,0.048,55.760,36.780,0.000
48.584,32.021,-102.864,0.196,-0.990,0.108,0.047,55.150,36.840,0.000
48.577,32.014,-102.872,0.194,-0.990,0.110,0.048,54.320,36.890,0.000
48.568,31.987,-102.883,0.193,-0.990,0.110,0.048,53.430,36.950,0.000
48.556,31.937,-102.898,0.192,-0.990,0.109,0.049,52.760,36.950,0.000
48.542,31.869,-102.916,0.192,-0.991,0.108,0.049,52.370,35.560,0.000
48.528,31.790,-102.937,0.191,-0.991,0.105,0.049,52.650,35.010,0.000
48.516,31.712,-102.959,0.191,-0.992,0.102,0.049,52.430,35.060,0.000
48.503,31.646,-102.984,0.191,-0.993,0.099,0.048,52.320,35.230,0.000
48.489,31.600,-103.010,0.192,-0.994,0.095,0.046,52.150,35.510,0.000
48.469,31.577,-103.040,0.192,-0.995,0.092,0.044,51.930,36.670,0.000
48.439,31.573,-103.072,0.193,-0.996,0.090,0.042,51.490,37.390,0.000
48.398,31.579,-103.107,0.194,-0.997,0.089,0.040,51.490,37.500,0.000
48.347,31.586,-103.143,0.195,-0.997,0.089,0.037,51.370,37.620,0.000
48.289,31.590,-103.177,0.196,-0.996,0.090,0.035,51.210,37.670,0.000
48.233,31.594,-103.205,0.198,-0.996,0.092,0.032,51.150,38.060,0.000
48.187,31.604,-103.225,0.199,-0.995,0.094,0.029,51.100,38.560,0.000
48.158,31.630,-103.234,0.201,-0.994,0.097,0.026,50.880,39.280,0.000
48.151,31.672,-103.233,0.201,-0.994,0.099,0.023,50.930,40.110,0.000
48.168,31.724,-103.222,0.202,-0.993,0.100,0.022,50.490,40.170,0.000
48.205,31.771,-103.205,0.202,-0.993,0.100,0.021,50.270,38.500,0.000
48.262,31.795,-103.183,0.202,-0.993,0.098,0.022,49.930,37.280,0.000
48.345,31.773,-103.154,0.203,-0.993,0.092,0.024,-20.920,61.190,0.000
48.465,31.684,-103.114,0.204,-0.992,0.081,0.027,13.425,58.585,0.000
48.642,31.510,-103.054,0.208,-0.992,0.063,0.029,47.770,55.980,0.000
48.892,31.237,-102.966,0.213,-0.991,0.036,0.029,50.930,42.390,0.000
49.220,30.872,-102.847,0.220,-0.988,-0.001,0.027,51.870,40.780,0.000
49.605,30.447,-102.704,0.230,-0.982,-0.049,0.022,51.710,40.450,0.000
50.002,30.023,-102.558,0.241,-0.975,-0.105,0.013,50.320,40.390,0.000
50.349,29.675,-102.438,0.253,-0.966,-0.164,0.002,47.710,40.940,0.000
50.586,29.470,-102.372,0.264,-0.955,-0.223,-0.011,45.220,41.780,0.000
50.681,29.440,-102.372,0.274,-0.944,-0.277,-0.026,42.440,42.550,0.000
50.639,29.570,-102.433,0.281,-0.934,-0.321,-0.040,40.390,43.500,0.000
50.501,29.811,-102.535,0.287,-0.925,-0.355,-0.052,39.340,42.830,0.000
50.321,30.100,-102.650,0.291,-0.917,-0.380,-0.063,38.280,43.660,0.000
50.152,30.382,-102.756,0.293,-0.911,-0.398,-0.072,38.340,43.880,0.000
50.022,30.628,-102.839,0.295,-0.906,-0.410,-0.079,38.230,44.000,0.000
49.941,30.826,-102.899,0.297,-0.901,-0.421,-0.085,38.000,44.110,0.000
49.900,30.980,-102.939,0.298,-0.897,-0.429,-0.089,37.730,44.270,0.000
49.886,31.093,-102.968,0.299,-0.893,-0.438,-0.093,37.780,43.220,0.000
49.889,31.172,-102.990,0.300,-0.889,-0.446,-0.095,36.340,44.330,0.000
49.900,31.215,-103.010,0.301,-0.885,-0.453,-0.096,10.600,65.630,0.000
49.918,31.224,-103.025,0.302,-0.882,-0.460,-0.096,1.440,76.340,0.000
49.943,31.199,-103.034,0.303,-0.878,-0.466,-0.096,3.440,76.450,0.000
49.973,31.143,-103.035,0.305,-0.876,-0.471,-0.095,8.040,73.400,0.000
50.007,31.064,-103.028,0.306,-0.874,-0.475,-0.094,11.930,72.510,0.000
50.041,30.972,-103.015,0.308,-0.872,-0.478,-0.093,15.200,69.960,0.000
50.071,30.877,-102.998,0.309,-0.871,-0.480,-0.092,9.880,73.460,0.000
50.096,30.786,-102.979,0.311,-0.870,-0.482,-0.091,8.930,74.620,0.000
50.114,30.701,-102.958,0.312,-0.869,-0.484,-0.090,9.040,74.950,0.000
50.128,30.622,-102.936,0.314,-0.869,-0.485,-0.090,8.990,74.840,0.000
50.138,30.551,-102.913,0.315,-0.869,-0.485,-0.089,9.100,75.010,0.000
50.146,30.492,-102.889,0.317,-0.869,-0.486,-0.089,9.100,75.120,0.000
50.152,30.453,-102.867,0.319,-0.869,-0.487,-0.089,9.930,73.900,0.000
50.153,30.442,-102.850,0.320,-0.868,-0.487,-0.090,10.540,73.900,0.000
50.146,30.459,-102.839,0.322,-0.868,-0.488,-0.091,10.820,74.180,0.000
50.128,30.493,-102.833,0.323,-0.867,-0.489,-0.092,10.930,74.620,0.000
50.103,30.522,-102.831,0.324,-0.866,-0.490,-0.093,11.480,75.010,0.000
50.080,30.519,-102.827,0.326,-0.866,-0.490,-0.093,14.650,72.460,0.000
50.070,30.463,-102.817,0.327,-0.866,-0.490,-0.093,15.920,71.790,0.000
50.081,30.348,-102.799,0.329,-0.867,-0.490,-0.093,16.310,71.630,0.000
50.111,30.197,-102.772,0.331,-0.867,-0.489,-0.092,16.590,71.570,0.000
50.152,30.049,-102.742,0.333,-0.868,-0.489,-0.091,16.980,71.630,0.000
50.186,29.955,-102.714,0.335,-0.868,-0.490,-0.090,17.420,71.630,0.000
50.201,29.947,-102.692,0.335,-0.867,-0.492,-0.089,17.420,71.510,0.000
50.189,30.031,-102.681,0.335,-0.866,-0.493,-0.089,17.200,71.510,0.000
50.150,30.185,-102.681,0.334,-0.865,-0.495,-0.090,17.140,71.570,0.000
50.090,30.373,-102.688,0.333,-0.863,-0.497,-0.090,17.090,71.510,0.000
50.019,30.555,-102.700,0.331,-0.862,-0.498,-0.091,17.030,71.630,0.000
49.948,30.706,-102.712,0.330,-0.861,-0.499,-0.092,17.250,71.570,0.000
49.889,30.813,-102.719,0.329,-0.861,-0.499,-0.092,17.480,71.460,0.000
49.845,30.882,-102.719,0.329,-0.860,-0.500,-0.093,17.700,71.010,0.000
49.817,30.931,-102.715,0.329,-0.859,-0.500,-0.093,17.810,70.900,0.000
49.796,30.978,-102.708,0.328,-0.859,-0.502,-0.094,17.860,71.130,0.000
49.772,31.035,-102.703,0.328,-0.858,-0.503,-0.095,17.920,71.240,0.000
49.740,31.097,-102.704,0.327,-0.856,-0.506,-0.096,18.090,71.510,0.000
49.697,31.145,-102.710,0.326,-0.855,-0.508,-0.097,18.310,71.010,0.000
49.648,31.155,-102.718,0.325,-0.854,-0.510,-0.098,20.250,64.140,0.000
49.594,31.117,-102.725,0.325,-0.853,-0.511,-0.099,21.860,58.860,0.000
49.539,31.037,-102.727,0.326,-0.853,-0.511,-0.101,21.690,58.590,0.000
49.482,30.940,-102.722,0.327,-0.853,-0.510,-0.103,21.750,59.090,0.000
49.425,30.850,-102.705,0.329,-0.853,-0.508,-0.105,21.800,60.200,0.000
49.371,30.783,-102.679,0.330,-0.853,-0.508,-0.108,22.030,60.640,0.000
49.321,30.741,-102.645,0.332,-0.852,-0.508,-0.112,22.080,61.970,0.000
49.274,30.721,-102.610,0.333,-0.850,-0.509,-0.116,21.690,61.580,0.000
49.224,30.714,-102.580,0.334,-0.848,-0.512,-0.120,20.860,61.360,0.000
49.167,30.713,-102.561,0.335,-0.845,-0.516,-0.124,20.420,61.970,0.000
49.106,30.707,-102.550,0.337,-0.843,-0.520,-0.128,19.970,60.310,0.000
49.046,30.680,-102.541,0.339,-0.840,-0.524,-0.132,19.530,60.030,0.000
48.999,30.618,-102.523,0.342,-0.836,-0.529,-0.136,19.470,60.140,0.000
48.971,30.518,-102.488,0.346,-0.833,-0.535,-0.140,19.200,60.580,0.000
48.965,30.391,-102.431,0.351,-0.828,-0.541,-0.145,18.860,60.810,0.000
48.977,30.259,-102.355,0.358,-0.823,-0.548,-0.150,18.420,63.800,0.000
48.996,30.145,-102.264,0.364,-0.816,-0.556,-0.156,16.810,67.630,0.000
49.008,30.069,-102.166,0.371,-0.808,-0.566,-0.163,15.420,71.850,0.000
48.992,30.036,-102.071,0.378,-0.798,-0.576,-0.173,14.310,72.570,0.000
48.928,30.045,-101.988,0.384,-0.787,-0.588,-0.184,13.650,72.400,0.000
48.794,30.089,-101.929,0.390,-0.775,-0.599,-0.197,12.480,72.240,0.000
